"","Domain","Phylum","Class","Order","Family","Genus","Species","InSeagrass","InMark"
"156","Eukaryota","Phragmoplastophyta","Embryophyta","Rosales","Rosales_fa","Cannabis","Cannabis","y","y"
"157","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces","y","y"
"158","Eukaryota","Ochrophyta","Pelagophyceae","Sarcinochrysidales","Sarcinochrysidales_fa","Sarcinochrysis","Sarcinochrysis","y","n"
"159","Eukaryota","Phragmoplastophyta","Embryophyta","Solanales","Solanales_fa","Nicotiana","Nicotiana","y","n"
"160","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Holosticha","Holosticha","y","n"
"161","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Oligotrichia","Omegastrombidium","Omegastrombidium","y","n"
"162","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Spirotrichea","Spirotrichea","Spirotrichea","y","n"
"163","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Oligotrichia","Strombidium","Strombidium","y","y"
"164","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Choreotrichia","Tintinnopsis","Tintinnopsis","y","n"
"165","Eukaryota","Protalveolata","Syndiniales","Syndiniales_or","Syndiniales_fa","Amoebophrya","Amoebophrya","y","n"
"166","Eukaryota","Protalveolata","Syndiniales","Syndiniales_or","Syndiniales_Group_I","Syndiniales_Group_I","Syndiniales_Group_I","y","y"
"167","Eukaryota","Annelida","Polychaeta","Terebellida","Terebellida","Terebellida","Terebellida","y","y"
"168","Eukaryota","Chlorophyta_ph","Trebouxiophyceae","Trebouxiophyceae","Trebouxiophyceae","Trebouxiophyceae","Trebouxiophyceae","y","y"
"169","Eukaryota","Chlorophyta_ph","Ulvophyceae","Ulotrichales","Ulotrichales_fa","Acrosiphonia","Acrosiphonia","y","y"
"170","Eukaryota","Chlorophyta_ph","Ulvophyceae","Ulotrichales","Ulotrichales_fa","Ulotrichales_fa","Ulotrichales_fa","y","y"
"171","Eukaryota","Chlorophyta_ph","Ulvophyceae","Ulvales","Ulvales_fa","Bolbocoleon","Bolbocoleon","y","n"
"172","Eukaryota","Chlorophyta_ph","Ulvophyceae","Ulvales","Ulvales_fa","Pseudendoclonium","Pseudendoclonium","y","n"
"173","Eukaryota","Chlorophyta_ph","Ulvophyceae","Ulvales","Ulvales_fa","Ulva","Ulva","y","y"
"174","Eukaryota","Chlorophyta_ph","Ulvophyceae","Ulvales","Ulvales_fa","Ulvales_fa","Ulvales_fa","y","n"
"175","Eukaryota","Chlorophyta_ph","Ulvophyceae","Ulvales","Ulvales_fa","Ulvella","Ulvella","y","y"
"176","Eukaryota","Chlorophyta_ph","Ulvophyceae","Ulvophyceae","Ulvophyceae","Ulvophyceae","Ulvophyceae","y","y"
"177","Eukaryota","Mollusca","Bivalvia","Veneroida","Veneroida","Veneroida","Veneroida","y","y"
"178","Eukaryota","Mollusca","Gastropoda","Vetigastropoda","Vetigastropoda","Vetigastropoda","Vetigastropoda","y","y"
"179",NA,NA,NA,NA,NA,NA,"Eukaryota","y","y"
"180",NA,NA,NA,NA,NA,NA,"Halodaphnea","n","y"
"181",NA,NA,NA,NA,NA,NA,"Pithites","n","y"
"182",NA,NA,NA,NA,NA,NA,"Ulvaria","n","y"
